,,,,HC cost,Shipping,Links
Ovionic 450mah 3s,2,16.18,,16.18,,https://www.amazon.com/OVONIC-Battery-Package-Including-Batteries/dp/B0D3F6NPMF/ref=sr_1_14?crid=141QDVRF4UEZ4&dib=eyJ2IjoiMSJ9.dXZ6JAw6MnpvdiZ8Oul6zSC140oU2_lR2jNL6XXKgK0RNvs-FJnflZbe3NA6Bcf1brmgwxPZtTNgsoVLw7Spwy74TAjx7uFKl0MW1k5Mo0iA5qhd9lVsGeqHHjMO-1u6iuewSaGAm0zbnTBqNfeEqeYUIU0yJF0J2X9WM5Yd4liceYZnhDbD1340-Zcj2yaaZI_BsqPTaLGOQp_2Sr7Wbe7IAOUQf5hrB9IGvGjoaqVB8tyDRtcEpc569zo4JQSEBdaIWTmbxkmh2ayMCqgwkky-_8NtYTCeV69Pf-2dka8.cu_KsEILbsyZS4nMBRYIfmqtyFZ5jlOsW8-LdzO2WnM&dib_tag=se&keywords=400mah+lipo+3s&qid=1763804452&sprefix=400mah+lipo+3s%2Caps%2C93&sr=8-14
ANYCUBIC PLA Plus,1,11.99,,11.99,,https://www.amazon.com/ANYCUBIC-Filament-Toughness-Printing-Dimensional/dp/B0CF1SXM5N/ref=sr_1_4?crid=2M08OELJG753F&dib=eyJ2IjoiMSJ9.qUELpgmewrPTEQhuZunuHpf6xQarHuxA5wLKYTU7DvbfA8SMDIGEFK5XNcPyBNux9CE8wOJvi_DQ_590xOtCB_HI-hyahvfrECzibD-wYms4hjW837uexUN_Jst6znAwm8eEeH9JPPqJjXMguBgWWNzfDaK7s6orZckSofy2_-NlLdfd-x5DGhUszJljg9MVWaRLlits-dianc22TyAgPMsn1ZBGNyOQ1mFe4KYXhwY.sfPIkXAPEtx8Kl8JqKDOSpIeoiW_wX-aHMpL5q8qn1c&dib_tag=se&keywords=pla%2B&qid=1763599702&sprefix=pla%2B%2Caps%2C99&sr=8-4&th=1
OVERTURE TPU Filament,1,18.99,,18.99,,https://www.amazon.com/Overture-Filament-Flexible-Consumables-Dimensional/dp/B07VDP2S3P/ref=sr_1_3?crid=CJV400WDSJX0&dib=eyJ2IjoiMSJ9.93UJ9BanR7UAZhYTswtU957VMYC1EGUrXB1cw45VXjxlnNQtoZxC60AE9YEQ4QbllD245sdxnWHUMfuGIknxaEShcB7AXxRXOVNeB3-mJIDYU7FDVK0OzLOP4-J6SY6pzwkrrVTkSK7m5LXmLoa2fNQNTF4K92LUBMJVUN1c5OJR_CbUAPw25ucWT0j6eGREIKkY_0tXAwK1ezEa--O2VQGBVxTfxvzbpkIWyFKka7s.Bfcp0amtZUEBdv4uplewEGqy6_1NdVia1ZdA0rxA5m4&dib_tag=se&keywords=overture%2Btpu&qid=1763804232&sprefix=overture%2Btpu%2Caps%2C94&sr=8-3&th=1
RS2205 2300KV Brushless Motor,1,12.08,,17.99,,https://www.amazon.com/Nawwgy-RS2205-Brushless-Multicopter-Accessories/dp/B0DRVP2CQ8/ref=sr_1_3?crid=BU9MKAA9QVLM&dib=eyJ2IjoiMSJ9.-fnR9vLvFgvzcq3JiMC45xEpZyNUCTCNuXzXtPl4oWHqdNCIqHxj6A_xwZ30xrdNFOtkezMZEYAI1jIr6IJk_Y3Z02fe6TtKavcLj0FxJAJhNNFDO-fdiTsEhdKdT53Zl-qjJzWVHwHaXuZPPSCmOMMv4p4WaDrJYJ9jDC_dTfAHYpfxTMSyx6kZtGhwL6w1PAT8iBjrqi1OBOzZLUNlCY8rybB1Btau_DDpyBhQyNgpqNVuudRqZX4bqki54KxFTJ5okPTlrtALHFQpvvhmdW4ET1fX0CY8WEnF2DfuS6s.yhTbJR0LpPLud14d5XOsgLg6J6yHhGRS8yow6bK4n2o&dib_tag=se&keywords=rs2205&qid=1764920547&sprefix=rs220%2Caps%2C137&sr=8-3
Dual way Bidirectional Brushed ESC,1,14.99,,0,,https://www.amazon.com/FPVKing-Bidirectional-Brushed-2S-3S-Control/dp/B081LBL42J/ref=sr_1_3?dib=eyJ2IjoiMSJ9.z4zRQY7vm5dfjlEa5-VxLGXZLjb82R8gBPyVCGAI5TuwAiyWXisFEvknEQzWrPlIG6DI1jjC4yQ06fN4dwnG7Xe8iB-ok8f1PmCNyo9v1ktpp9enYgbokbCEj7CQsF0gUjjyvVVX42vzfCbQi26S0gJ6HWNKJBbpYu0iXoS7y8viaiaJOuJ7u6LZOLqOYCMWlfzLYOkh8-6-ygSjG7GXvVZbpYvGnZrdrB-alvAyK2s1MNIwNYgBewNZaitih9gEQTyxy-Bi-L2-xMy5G3oVDp69tu6eReEWqCVZfHWvmac.07pZt-b0JzVixTtQp8ifqs8zND-_-B8-3zzNGkoFxYg&dib_tag=se&keywords=dual+brushed+esc&qid=1764921298&sr=8-3
HiLetgo 2pcs GA12-N20 N20 (12V 1000RPM),2,9.99,,0,,https://www.amazon.com/HiLetgo-GA12-N20-Reduction-Deceleration-Multiple/dp/B0CHRWS36P/ref=sr_1_5?crid=1H2N8RQ3F1E2V&dib=eyJ2IjoiMSJ9.vTZDtnxzbzcj6Hj4Tvf3o9FzR17GkGGC4vK8y8w04632dlctt6KLIwnqEdiTvuc13u6y8Am5OhDAxJWw34syFHdc67xiLkLzBCgPzibzTglsrL2GUsvmOONiVs8uH9nn6lOLNT4UO-AaUIIR4ayMji22EeYfIxbdbhVQItgALgtw4N8fwU2jzc07eBpPZC7RKSGKeBJLh10wI0CT0X8Q8tkklgAjDWpULnBNRhHVHyvi5w8SvI9ahvzbu04Gn_shj_xVJDU0jr-O5tiydtpzwk1FPrzlDAMLs72HTyxq9WQ.Kk_rVz43pj7pYQRFmYk3M8ruIPThz-HlQwpDKY3Lf6E&dib_tag=se&keywords=12v+n20&qid=1763803688&sprefix=12v+n20%2Caps%2C117&sr=8-5
uxcellÂ® M3 x 55mm Alloy Steel 12.9 Grade Bolt Hex Socket Head Cap Screw Black ,1,13.99,,13.99,,https://www.amazon.com/gp/product/B01N68JLPE/ref=sw_img_1?smid=A1THAZDOWP300U&psc=1
600 Pcs M3 Screws Assortment Kit,1,7.19,,0,,https://www.amazon.com/Screws-Assortment-Plated-Socket-Washers/dp/B0D3X5CT2J/ref=sr_1_4?crid=3TK6IE69KVUSS&dib=eyJ2IjoiMSJ9.C6SHlDheDxPWq_3LT4es9UvSr0_7MqTb3URx4CtWOZebEGliDeGNp7lpuxBvpuVfJn2lW09zAbIgEoOYehg7BDT8MaRSuqZjZtke7JmbH1rmpGNFDKM2k-qTJ3EA3hKw_tburjDJdTqDOhOU5Ogtz0Rs3tAyrXKvPVWz9YN55vaFUgArm3ohXrl8b0qBueTYxB3yO3Alo7ODzJSGznPtyxY4e-YgrmKcj2YMZXzeUKlpL3wcyn6XDnj3hTuZ-VXGFXvokiYBwsH5oD9e24tjxSxNUaslTKSlYJYsIW9BlTg.0BBlPZI1RfXqCnXHzseZIeCWIdqXWEaGESvTspjbhQI&dib_tag=se&keywords=m3%2Bhardware&qid=1763804088&s=hi&sprefix=m3%2Bhardware%2Ctools%2C76&sr=1-4&th=1
Just 'Cuz PCB Switch V1.0,1,4.4,,4.4,4.9,https://justcuzrobotics.com/products/switch?srsltid=AfmBOooIHvI1H5m_7Gn2Ch0qB8z2Gii8eMEnnz9jvMs_c63XW1hD1Gcp
RadioMaster R84 V2.0 4ch,1,18.99,,18.99,,https://www.amazon.com/RadioMaster-Compatible-Receiver-Radiomaster-Transmitters/dp/B0CRCYM2QL/ref=sr_1_1?crid=2ACBETSQ60LJ6&dib=eyJ2IjoiMSJ9.lnXU22w4TWooyiEaqklWnZdUfvjJWlVEcojRG34Rc5bEA07k2T1g6eHWdqOkfupf_wLkjfZLG6Q4sy7oPeK_7BFCEaxkLrD1PZoT3GosOaUstZCx0myDQMufEHv03T3MDXnLy4w2AFujakdhfvKGXngblbT3Z4dTSMBXWTuf3dHvmtS8VWPkaQF3cA4Pw9buwx2azjZYZ4zSCjPCyJMlASn-FsM1v7rvK8uJrljH8uY.A-eSw6ao7iJV5_quue7fZf_Vps6AvGQLkusfCSvGiFc&dib_tag=se&keywords=r84&qid=1763804494&sprefix=r84%2Caps%2C102&sr=8-1
30A 2-4S RC Brushless Motor ESC,1,16.99,,0,,https://www.amazon.com/TOYTENSI-Brushless-Motor-Plane-Airplane/dp/B0CQHLRW3D/ref=sr_1_6?dib=eyJ2IjoiMSJ9.RXpPm6BTJJY8yWJmTRr2w4raxu5FTwFWMxhsak3ZzevOVH9diXC7bWHjPz5uQvLck-KnJq1Ch3ihhFTK0Pt5wuogGApxNoHGkh8jCIOSxXHTRrjpMbxJtMSm7LVzV71hEBVapSl1dyxFoggazgNoawB5URe1wmljE7-NkIZy0Ki-Ozg8WjDNq2UU_bJJpAkjIiwAj4nCjjAfiteNFg3YXPbH8Rokp-xjULgmCAFSnxJ8sypZ7N36Im-9n18SBlHrRCa8bq3eHIRZUXu9qCdB_y2kzcMBJzGzjNCQs8ocbA0.897I_ZtF2n8-_esPtfnyLpZCUERdYhCX1LvJDT5t1qc&dib_tag=se&keywords=30a%2Besc&qid=1764921092&sr=8-6&th=1
uxcell M3 x 40mm Alloy Steel Hex Bolt Socket Head Cap Screws,1,9.99,,9.99,,https://www.amazon.com/Alloy-Steel-Socket-Screws-Black/dp/B00W97R5KU/ref=sr_1_11?crid=2AZSP99DJDZIJ&dib=eyJ2IjoiMSJ9.lnNV2g8TwzDvakcnVwC8cdjpCXi8aJcHFcraM5tSg1n8ShRY23c-iAw4IZB9W2OQR1K_tPlM77GBdD0IawIehf2z9HFD7S8GBujz4orAykaOyQFF-kSL6LJSiYSzvJ0NlSDNPZojBHheToPo2xS5LqkOohA3MW5IbW8cpuWTob6nv2nHVorfbvTJ9bRscQfs2E93bML3Fibpzhgo8Uj_yhM7gUe7kJ727PEPzCWWupt-SINnxCFqooBft5CaRdt7H08is-BDqvyGoCy1hpAjNz-aa7MNSZf-R0AUbUPJJ_c.SY7mwYekcdS-9PFkGmNeKUjmvuJ5C0PHxJYQjmN9q2M&dib_tag=se&keywords=m3x40&qid=1764921201&s=hi&sprefix=m3x40%2Ctools%2C61&sr=1-11
"DAP Silicone Max All Purpose Sealant, Clear, 2.8 Oz",1,5.99,,5.99,,https://www.amazon.com/DAP-7079808792-Silicone-Building-Material/dp/B07GQBLMG3/ref=sr_1_1?crid=243GCPVEPQ2GM&dib=eyJ2IjoiMSJ9.DtgUvU7UVTAqOeBJYVP-iSXzn-g0CtAJVJiJnZeqFJX_tBM-cRsyXR9DnoVweReglndSwVSUQMdkH6aVAh0urAm_RqjOyIY77WH3V33VdrTtLW14lI5ddRVtYxWpaAVKZbDTs4wMEZIYY4PSZuhMjMazHQ6sfIVD7siZBXEc3QdYYLkdH698-V3G0O8XTSa2pMc9z444o-N1c1kZ0MN57-sQp4UG3ZS2C10VTGxOJRw.yx78DaeIiQ7ZO-S7ejjS_y1iVEQTdxnfLIR9tAfXozw&dib_tag=se&keywords=DAP+All+Purpose+RTV+100%25+Silicone&qid=1764921768&sprefix=dap+all+purpose+rtv+100%25+silicone%2Caps%2C112&sr=8-1
"Argo 100% Pure Corn Starch, 16 Oz",1,2.44,,2.44,,https://www.amazon.com/Argo-100-Pure-Corn-Starch/dp/B00JPT9BFW/ref=sr_1_4_f3_0o_fs?crid=3FCTCSPZYLRY3&dib=eyJ2IjoiMSJ9.iJfeUleY9l1MPZFTvwALWhpc1lKTcTaeqMtFW4PJ2e_uFWjRBH0Ps2BtbQu_kHyRpmLIeVZOr8xDe--m6DqpYAYjS1I4JK9JtYEDy3IbCGb8rlAtFadTfWDGhCtCy1ynP1mIfF51knZ_dN3Xi1N5ZTbdIWTiUNZtZUhgWpjSx5pZc54g6A0sN-tW2sXiVzhNOCbE6Dgksgv8VBNoHXNoQ-Ya2gYmv2uVs1KraUWKXpTbXnnjnvWORBm7rATCRQJSFe6JW5Z9-Dy8v8d6Ia9mQodps6bLSXocyliw4jvGEG0.quV_fnjpCK-TNUhUNeR_yVxvcrFlqy5J4MuXTzWW-ro&dib_tag=se&keywords=corn+starch&qid=1764921806&sprefix=corn+starc%2Caps%2C116&sr=8-4
xt30 connectors,1,5.99,,5.99,,
subtotal,,170.19,,126.94,,
total,,169.1,,131.84,,
